Question,Question ID,Question description,Data Type,Parent Question
Does the religious group possess a variety of supernatural beings:,4949,,Nominal,Are supernatural beings present:
Organized by kinship based on a family model:,4950,,Nominal,Does the religious group possess a variety of supernatural beings:
Organized hierarchically:,4951,,Nominal,Does the religious group possess a variety of supernatural beings:
Power of beings is domain specific:,4952,,Nominal,Does the religious group possess a variety of supernatural beings:
Other organization for pantheon:,4953,,Nominal,Does the religious group possess a variety of supernatural beings:
Is supernatural monitoring present:,4954,This refers to surveillance by supernatural beings of humans’ behaviour and/or thought particularly as it relates to social norms or potential norm violations.,Nominal,
There is supernatural monitoring of prosocial norm adherence in particular:,4955,"Prosocial norms are norms that enhance cooperation among members of the group, including obviously “moral” or “ethical” norms, but also extending to norms concerning honouring contracts and oaths, providing hospitality, coming to mutual aid in emergencies, etc.",Nominal,Is supernatural monitoring present:
Supernatural beings care about taboos:,4956,,Nominal,Is supernatural monitoring present:
Food:,4957,,Nominal,Supernatural beings care about taboos:
Sacred space(s):,4958,,Nominal,Supernatural beings care about taboos:
Sacred object(s):,4959,,Nominal,Supernatural beings care about taboos:
Supernatural beings care about other:,4960,,Nominal,Supernatural beings care about taboos:
Supernatural beings care about murder of coreligionists:,4961,,Nominal,Is supernatural monitoring present:
Supernatural beings care about murder of members of other religions:,4962,,Nominal,Is supernatural monitoring present:
Supernatural beings care about murder of members of other polities:,4963,,Nominal,Is supernatural monitoring present:
Supernatural beings care about sex:,4964,,Nominal,Is supernatural monitoring present:
Adultery:,4965,,Nominal,Supernatural beings care about sex:
Incest:,4966,,Nominal,Supernatural beings care about sex:
Other sexual practices:,4967,,Nominal,Supernatural beings care about sex:
Supernatural beings care about lying:,4968,,Nominal,Is supernatural monitoring present:
Supernatural beings care about honouring oaths:,4969,,Nominal,Is supernatural monitoring present:
Supernatural beings care about laziness:,4970,,Nominal,Is supernatural monitoring present:
Supernatural beings care about sorcery:,4971,,Nominal,Is supernatural monitoring present:
Supernatural beings care about non-lethal fighting:,4972,,Nominal,Is supernatural monitoring present:
Supernatural beings care about shirking risk:,4973,,Nominal,Is supernatural monitoring present:
Supernatural beings care about disrespecting elders:,4974,,Nominal,Is supernatural monitoring present:
Supernatural beings care about gossiping:,4975,,Nominal,Is supernatural monitoring present:
Supernatural beings care about property crimes:,4976,,Nominal,Is supernatural monitoring present:
Supernatural beings care about proper ritual observance:,4977,,Nominal,Is supernatural monitoring present:
Supernatural beings care about performance of rituals:,4978,,Nominal,Is supernatural monitoring present:
Supernatural beings care about conversion of non-religionists:,4979,,Nominal,Is supernatural monitoring present:
Supernatural beings care about economic fairness:,4980,,Nominal,Is supernatural monitoring present:
Supernatural beings care about personal hygiene:,4981,,Nominal,Is supernatural monitoring present:
Supernatural beings care about other:,4982,,Nominal,Is supernatural monitoring present:
Do supernatural beings mete out punishment:,4983,,Nominal,
Is the cause or agent of supernatural punishment known:,4984,,Nominal,Do supernatural beings mete out punishment:
Done only by high god:,4985,,Nominal,Is the cause or agent of supernatural punishment known:
Done by many supernatural beings:,4986,,Nominal,Is the cause or agent of supernatural punishment known:
Done through impersonal cause-effect principle:,4987,,Nominal,Is the cause or agent of supernatural punishment known:
Done by other entities or through other means [specify],4988,,Nominal,Is the cause or agent of supernatural punishment known:
Is the reason for supernatural punishment known:,4989,,Nominal,Do supernatural beings mete out punishment:
Done to enforce religious ritual-devotional adherence:,4990,,Nominal,Is the reason for supernatural punishment known:
Done to enforce group norms:,4991,,Nominal,Is the reason for supernatural punishment known:
Done to inhibit selfishness:,4992,,Nominal,Is the reason for supernatural punishment known:
Done randomly:,4993,,Nominal,Is the reason for supernatural punishment known:
Other [specify],4994,,Nominal,Is the reason for supernatural punishment known:
Supernatural punishments are meted out in the afterlife:,4995,,Nominal,Do supernatural beings mete out punishment:
Supernatural punishments in the afterlife are highly emphasized by the religious group:,4996,,Nominal,Supernatural punishments are meted out in the afterlife:
Punishment in the afterlife consists of mild sensory displeasure:,4997,,Nominal,Supernatural punishments are meted out in the afterlife:
Punishment in the afterlife consists of extreme sensory displeasure:,4998,,Nominal,Supernatural punishments are meted out in the afterlife:
Punishment in the afterlife consists of reincarnation as an inferior life form:,4999,,Nominal,Supernatural punishments are meted out in the afterlife:
Punishment in the afterlife consists of reincarnation in an inferior realm:,5000,,Nominal,Supernatural punishments are meted out in the afterlife:
Other [specify],5001,,Nominal,Supernatural punishments are meted out in the afterlife:
Supernatural punishments are meted out in this lifetime:,5002,,Nominal,Do supernatural beings mete out punishment:
Supernatural punishments in this life are highly emphasized by the religious group:,5003,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of bad luck:,5004,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of political failure:,5005,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of defeat in battle:,5006,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of crop failure or bad weather:,5007,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of disaster on journeys.,5008,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of mild sensory displeasure:,5009,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of extreme sensory displeasure:,5010,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of sickness or illness:,5011,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of impaired reproduction:,5012,,Nominal,Supernatural punishments are meted out in this lifetime:
Punishment in this life consists of bad luck visited on descendants:,5013,,Nominal,Supernatural punishments are meted out in this lifetime:
Other [specify],5014,,Nominal,Supernatural punishments are meted out in this lifetime:
Do supernatural beings bestow rewards:,5015,,Nominal,
Is the cause/purpose of supernatural rewards known:,5016,,Nominal,Do supernatural beings bestow rewards:
Done only by high god:,5017,,Nominal,Is the cause/purpose of supernatural rewards known:
Done by many supernatural beings:,5018,,Nominal,Is the cause/purpose of supernatural rewards known:
Done through impersonal cause-effect principle:,5019,,Nominal,Is the cause/purpose of supernatural rewards known:
Done to enforce religious ritual-devotional adherence:,5020,,Nominal,Is the cause/purpose of supernatural rewards known:
Done to enforce group norms:,5021,,Nominal,Is the cause/purpose of supernatural rewards known:
Done to inhibit selfishness:,5022,,Nominal,Is the cause/purpose of supernatural rewards known:
Done randomly:,5023,,Nominal,Is the cause/purpose of supernatural rewards known:
Supernatural rewards are bestowed out in the afterlife:,5024,,Nominal,Do supernatural beings bestow rewards:
Supernatural rewards in the afterlife are highly emphasized by the religious group:,5025,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Reward in the afterlife consists of mild sensory pleasure:,5026,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Reward in the afterlife consists of extreme sensory pleasure:,5027,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Reward in the afterlife consists of eternal happiness:,5028,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Reward in the afterlife consists of reincarnation as a superior life form:,5029,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Reward in the afterlife consists of reincarnation in a superior realm:,5030,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Other [specify],5031,,Nominal,Supernatural rewards are bestowed out in the afterlife:
Supernatural rewards are bestowed out in this lifetime:,5032,,Nominal,Do supernatural beings bestow rewards:
Supernatural rewards in this life are highly emphasized by the religious group:,5033,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of good luck:,5034,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of political success or power:,5035,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of success in battle:,5036,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of peace or social stability:,5037,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of healthy crops or good weather:,5038,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of success on journeys:,5039,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of mild sensory pleasure:,5040,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of extreme sensory pleasure:,5041,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of enhanced health:,5042,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of enhanced reproductive success:,5043,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Reward in this life consists of fortune visited on descendants:,5044,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Other [specify],5045,,Nominal,Supernatural rewards are bestowed out in this lifetime:
Are messianic beliefs present:,5046,,Nominal,
Is the messiah's whereabouts or time of coming known?,5047,,Nominal,Are messianic beliefs present:
"Alive, identified:",5048,,Nominal,Is the messiah's whereabouts or time of coming known?
Coming in this lifetime:,5049,,Nominal,Is the messiah's whereabouts or time of coming known?
Coming on specified date:,5050,,Nominal,Is the messiah's whereabouts or time of coming known?
Coming in unspecified time in near future:,5051,,Nominal,Is the messiah's whereabouts or time of coming known?
Coming in unspecified time in distant future:,5052,,Nominal,Is the messiah's whereabouts or time of coming known?
Coming has already passed:,5053,,Nominal,Is the messiah's whereabouts or time of coming known?
One in a line of many past and future messiahs:,5054,,Nominal,Is the messiah's whereabouts or time of coming known?
Is the messiah's purpose known:,5055,,Nominal,Are messianic beliefs present:
Messiah is a political figure who restores political rule:,5056,,Nominal,Is the messiah's purpose known:
Messiah is a priestly figure who restores religious traditions:,5057,,Nominal,Is the messiah's purpose known:
Other purpose:,5058,,Nominal,Is the messiah's purpose known:
Is an eschatology present:,5059,,Nominal,
Eschaton in this lifetime:,5060,,Nominal,Is an eschatology present:
Eschaton at specified time in future:,5061,,Nominal,Is an eschatology present:
Eschaton at unspecified time in near future:,5062,,Nominal,Is an eschatology present:
Eschaton at unspecified time in distant future:,5063,,Nominal,Is an eschatology present:
Eschaton at some other time:,5064,,Nominal,Is an eschatology present:
Adherents need to perform specific tasks to bring about World's end:,5065,,Nominal,Is an eschatology present:
Divine judgment event:,5066,,Nominal,Is an eschatology present:
Restoration of the world:,5067,,Nominal,Is an eschatology present:
Start of a new temporal cycle:,5068,,Nominal,Is an eschatology present:
Establishment of a new political system:,5069,,Nominal,Is an eschatology present:
Establishment of a new religious system:,5070,,Nominal,Is an eschatology present:
Will anyone survive the eschaton:,5071,,Nominal,Is an eschatology present:
All religious in-group members will survive the eschaton:,5072,,Nominal,Will anyone survive the eschaton:
A subset of religion in-group members will survive the eschaton:,5073,,Nominal,Will anyone survive the eschaton:
All members of the sample region will survive the eschaton:,5074,,Nominal,Will anyone survive the eschaton:
Everyone in the world will survive the eschaton:,5075,,Nominal,Will anyone survive the eschaton:
Other survival condition:,5076,,Nominal,Will anyone survive the eschaton:
Are general social norms prescribed by the religious group:,5077,,Nominal,
Is there a conventional vs. moral distinction in the religious group:,5078,,Nominal,
What is the nature of this distinction:,5079,,Nominal - Other,Is there a conventional vs. moral distinction in the religious group:
Are specifically moral norms prescribed by the religious group:,5080,,Nominal,Is there a conventional vs. moral distinction in the religious group:
Specifically moral norms are implicitly linked to vague metaphysical concepts:,5081,,Nominal,Are specifically moral norms prescribed by the religious group:
Specifically moral norms are explicitly linked to vague metaphysical entities:,5082,,Nominal,Are specifically moral norms prescribed by the religious group:
Specifically moral norms are linked to impersonal cosmic order (e.g. karma):,5083,,Nominal,Are specifically moral norms prescribed by the religious group:
Specifically moral norms are linked in some way to an anthropomorphic being:,5084,,Nominal,Are specifically moral norms prescribed by the religious group:
Specifically moral norms are linked explicitly to commands of anthropomorphic being:,5085,,Nominal,Are specifically moral norms prescribed by the religious group:
Specifically moral norms are have no special connection to metaphysical:,5086,,Nominal,Are specifically moral norms prescribed by the religious group:
Moral norms apply to:,5087,,Nominal - Multiple,Is there a conventional vs. moral distinction in the religious group:
Are there centrally important virtues advocated by the religious group:,5088,,Nominal,
Honesty / trustworthiness / integrity:,5089,,Nominal,Are there centrally important virtues advocated by the religious group:
Courage (in battle):,5090,,Nominal,Are there centrally important virtues advocated by the religious group:
Courage (generic):,5091,,Nominal,Are there centrally important virtues advocated by the religious group:
Compassion / empathy / kindness / benevolence:,5092,,Nominal,Are there centrally important virtues advocated by the religious group:
Mercy / forgiveness / tolerance:,5093,,Nominal,Are there centrally important virtues advocated by the religious group:
Generosity / charity:,5094,,Nominal,Are there centrally important virtues advocated by the religious group:
Selflessness / selfless giving:,5095,,Nominal,Are there centrally important virtues advocated by the religious group:
Righteousness / moral rectitude:,5096,,Nominal,Are there centrally important virtues advocated by the religious group:
Ritual purity / ritual adherence / abstention from sources of impurity:,5097,,Nominal,Are there centrally important virtues advocated by the religious group:
Respectfulness / courtesy:,5098,,Nominal,Are there centrally important virtues advocated by the religious group:
Familial obedience / filial piety:,5099,,Nominal,Are there centrally important virtues advocated by the religious group:
Fidelity / loyalty:,5100,,Nominal,Are there centrally important virtues advocated by the religious group:
Cooperation:,5101,,Nominal,Are there centrally important virtues advocated by the religious group:
Independence / creativity / freedom:,5102,,Nominal,Are there centrally important virtues advocated by the religious group:
Moderation / frugality:,5103,,Nominal,Are there centrally important virtues advocated by the religious group:
Forbearance / fortitude / patience:,5104,,Nominal,Are there centrally important virtues advocated by the religious group:
Diligence / self-discipline / excellence:,5105,,Nominal,Are there centrally important virtues advocated by the religious group:
Assertiveness / decisiveness / confidence / initiative:,5106,,Nominal,Are there centrally important virtues advocated by the religious group:
Strength (physical):,5107,,Nominal,Are there centrally important virtues advocated by the religious group:
Power / status / nobility:,5108,,Nominal,Are there centrally important virtues advocated by the religious group:
Humility / modesty:,5109,,Nominal,Are there centrally important virtues advocated by the religious group:
Contentment / serenity / equanimity:,5110,,Nominal,Are there centrally important virtues advocated by the religious group:
Joyfulness / enthusiasm / cheerfulness:,5111,,Nominal,Are there centrally important virtues advocated by the religious group:
Optimism / hope:,5112,,Nominal,Are there centrally important virtues advocated by the religious group:
Gratitude / thankfulness:,5113,,Nominal,Are there centrally important virtues advocated by the religious group:
Reverence / awe / wonder:,5114,,Nominal,Are there centrally important virtues advocated by the religious group:
Faith / belief / trust / devotion:,5115,,Nominal,Are there centrally important virtues advocated by the religious group:
Wisdom / understanding:,5116,,Nominal,Are there centrally important virtues advocated by the religious group:
Discernment / intelligence:,5117,,Nominal,Are there centrally important virtues advocated by the religious group:
Beauty / attractiveness:,5118,,Nominal,Are there centrally important virtues advocated by the religious group:
Cleanliness (physical) / orderliness:,5119,,Nominal,Are there centrally important virtues advocated by the religious group:
Other important virtues advocated by the religious group:,5120,,Nominal,Are there centrally important virtues advocated by the religious group:
Does membership in this religious group require celibacy (full sexual abstinence):,5121,,Nominal,
Does membership in this religious group require constraints on sexual activity (partial sexual abstinence):,5122,,Nominal,
Monogamy (males):,5123,,Nominal,Does membership in this religious group require constraints on sexual activity (partial sexual abstinence):
Monogamy (females):,5124,,Nominal,Does membership in this religious group require constraints on sexual activity (partial sexual abstinence):
Other sexual constraints (males):,5125,,Nominal,Does membership in this religious group require constraints on sexual activity (partial sexual abstinence):
Other sexual constraints (females):,5126,,Nominal,Does membership in this religious group require constraints on sexual activity (partial sexual abstinence):
Does membership in this religious group require castration:,5127,,Nominal,
Does membership in this religious group require fasting:,5128,,Nominal,
Does membership in this religious group require forgone food opportunities (taboos on desired foods):,5129,,Nominal,
Does membership in this religious group require permanent scarring or painful bodily alterations:,5130,,Nominal,
Does membership in this religious group require painful physical positions or transitory painful wounds:,5131,,Nominal,
Does membership in this religious group require sacrifice of adults:,5132,"""Adults"" here referring to an emic or indigenous category; if that category is different from the popular Western definition of a human who is 18-years-old or older and who is legally responsible for his/her actions, then please specify that difference in the Comments/Sources: box below.",Nominal,
"Foreign, slaves:",5133,,Nominal,Does membership in this religious group require sacrifice of adults:
Commoners:,5134,,Nominal,Does membership in this religious group require sacrifice of adults:
Elites:,5135,,Nominal,Does membership in this religious group require sacrifice of adults:
Other:,5136,,Nominal,Does membership in this religious group require sacrifice of adults:
Does membership in this religious group require sacrifice of children:,5137,"""Children"" here referring to an emic or indigenous category; if that category is different from the popular Western definition, please specify that different in the Comments/Sources: box below.",Nominal,
"Foreign, slaves:",5138,,Nominal,Does membership in this religious group require sacrifice of children:
Commoners:,5139,,Nominal,Does membership in this religious group require sacrifice of children:
Elites:,5140,,Nominal,Does membership in this religious group require sacrifice of children:
Other:,NA,NA,Nominal,Does membership in this religious group require sacrifice of children:
Does membership in this religious group require self-sacrifice (suicide):,5142,,Nominal,
Does membership in this religious group require sacrifice of property/valuable items:,5143,,Nominal,
To other in-group members:,5144,,Nominal,Does membership in this religious group require sacrifice of property/valuable items:
To out-groups:,5145,,Nominal,Does membership in this religious group require sacrifice of property/valuable items:
Destroyed:,5146,,Nominal,Does membership in this religious group require sacrifice of property/valuable items:
Other:,5147,,Nominal,Does membership in this religious group require sacrifice of property/valuable items:
"Does membership in this religious group require sacrifice of time (e.g., attendance at meetings or services, regular prayer, etc.):",5148,,Nominal,
Does membership in this religious group require physical risk taking:,5149,,Nominal,
Does membership in this religious group require accepting ethical precepts:,5150,,Nominal,
Does membership in this religious group require marginalization by out-group members:,5151,,Nominal,
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,,Nominal,
What is the average interval of time between performances (in hours):,5153,Performances here refers to small-scale rituals.,Continuous,"Does membership in this religious group require participation in small-scale rituals (private, household):"
Does membership in this religious group require participation in large-scale rituals:,5154,I.e. involving two or more households; includes large-scale “ceremonies” and “festivals.”,Nominal,
"On average, for large-scale rituals how many participants gather in one location:",5155,,Discrete,Does membership in this religious group require participation in large-scale rituals:
What is the average interval of time between performances (in hours):,5156,Performances here refers to small-scale rituals.,Continuous,Does membership in this religious group require participation in large-scale rituals:
Are there orthodoxy checks:,5157,"Orthodoxy checks are mechanisms used to ensure that rituals are interpreted in a standardized way, e.g. through the supervisory prominence of a professionalized priesthood or other system of governance, appeal to texts detailing the proper interpretation, etc.",Nominal,Does membership in this religious group require participation in large-scale rituals:
Are there orthopraxy checks:,5158,"Orthopraxy checks are mechanisms used to ensure that rituals are performed in a standardized way, e.g. through the supervisory prominence of a professionalized priesthood or other system of governance, appeal to texts detailing the proper procedure, etc.",Nominal,Does membership in this religious group require participation in large-scale rituals:
Does participation entail synchronic practices:,5159,,Nominal,Does membership in this religious group require participation in large-scale rituals:
Is there use of intoxicants:,5160,,Nominal,Does membership in this religious group require participation in large-scale rituals:
Are extra-ritual in-group markers present:,5161,"E.g. special changes to appearance such as circumcision, tattoos, scarification, etc.",Nominal,
Tattoos/scarification:,5162,,Nominal,Are extra-ritual in-group markers present:
Circumcision:,5163,,Nominal,Are extra-ritual in-group markers present:
Food taboos:,5164,,Nominal,Are extra-ritual in-group markers present:
Hair:,5165,,Nominal,Are extra-ritual in-group markers present:
Dress:,5166,,Nominal,Are extra-ritual in-group markers present:
Ornaments:,5167,,Nominal,Are extra-ritual in-group markers present:
Archaic ritual language:,5168,,Nominal,Are extra-ritual in-group markers present:
Other:,5169,,Nominal,Are extra-ritual in-group markers present:
Does the group employ fictive kinship terminology:,5170,,Nominal,
Fictive kinship terminology universal:,5171,,Nominal,Does the group employ fictive kinship terminology:
Fictive kinship terminology widespread:,5172,,Nominal,Does the group employ fictive kinship terminology:
Fictive kinship terminology employed but uncommon:,5173,,Nominal,Does the group employ fictive kinship terminology:
The society to which the religious group belongs is best characterized as (please choose one):,5174,,Nominal - Other,
Does the religious group in question provide institutionalized famine relief:,5175,,Nominal,
Is famine relief available to the group's adherents through an institution(s) other than the religious group in question:,5176,,Nominal,
Does the religious group in question provide institutionalized poverty relief:,5177,,Nominal,
Is poverty relief available to the group's adherents through an institution(s) other than the religious group in question:,5178,,Nominal,
Does the religious group in question provide institutionalized care for the elderly and infirm:,5179,,Nominal,
Is institutionalized care for the elderly and infirm available to the group's adherents through an institution(s) other than the religious group in question:,5180,,Nominal,
Does the religious group provide formal education to its adherents:,5181,,Nominal,
Is formal education restricted to religious professionals:,5182,,Nominal,Does the religious group provide formal education to its adherents:
Is such education open to both males and females:,5183,,Nominal,Does the religious group provide formal education to its adherents:
Is formal education available to the group’s adherents through an institution(s) other than the religious group:,5184,,Nominal,
Is extra-religious education open to both males and females:,5185,,Nominal,Is formal education available to the group’s adherents through an institution(s) other than the religious group:
Do the group’s adherents interact with a formal bureaucracy within their group:,5186,,Nominal,
Do the group’s adherents interact with other institutional bureaucracies:,5187,,Nominal,
Does the religious group in question provide public food storage:,5188,,Nominal,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,,Nominal,
"Does the religious group in question provide water management (irrigation, flood control):",5190,,Nominal,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,,Nominal,
Does the religious group in question provide transportation infrastructure:,5192,,Nominal,
Is transportation infrastructure provided for the group’s adherents by an institution(s) other than the religious group in question:,5193,,Nominal,
Does the religious group in question levy taxes or tithes:,5194,,Nominal,
Are taxes levied on the group’s adherents by an institution(s) other than the religious group in question:,5195,,Nominal,
Does the religious group in question provide an institutionalized police force:,5196,,Nominal,
Do the group’s adherents interact with an institutionalized police force provided by an institution(s) other than the religious group in question:,5197,,Nominal,
Does the religious group in question provide institutionalized judges:,5198,,Nominal,
Do the group’s adherents interact with an institutionalized judicial system provided by an an institution(s) other than the religious group in question:,5199,,Nominal,
Does the religious group in question enforce institutionalized punishment:,5200,,Nominal,
Do the institutionalized punishments include execution:,5201,,Nominal,Does the religious group in question enforce institutionalized punishment:
Do the institutionalized punishments include exile:,5202,,Nominal,Does the religious group in question enforce institutionalized punishment:
Do the institutionalized punishments include corporal punishments:,5203,,Nominal,Does the religious group in question enforce institutionalized punishment:
Do the institutionalized punishments include ostracism:,5204,,Nominal,Does the religious group in question enforce institutionalized punishment:
Do the institutionalized punishments include seizure of property:,5205,,Nominal,Does the religious group in question enforce institutionalized punishment:
Are the group’s adherents subject to institutionalized punishment enforced by an institution(s) other than the religious group in question:,5206,,Nominal,
Do the institutionalized punishments include execution:,5207,,Nominal,Are the group’s adherents subject to institutionalized punishment enforced by an institution(s) other than the religious group in question:
Do the institutionalized punishments include exile:,5208,,Nominal,Are the group’s adherents subject to institutionalized punishment enforced by an institution(s) other than the religious group in question:
Do the institutionalized punishments include corporal punishments:,5209,,Nominal,Are the group’s adherents subject to institutionalized punishment enforced by an institution(s) other than the religious group in question:
Do the institutionalized punishments include ostracism:,5210,,Nominal,Are the group’s adherents subject to institutionalized punishment enforced by an institution(s) other than the religious group in question:
Do the institutionalized punishments include seizure of property:,5211,,Nominal,Are the group’s adherents subject to institutionalized punishment enforced by an institution(s) other than the religious group in question:
Does the religious group in question have a formal legal code:,5212,,Nominal,
Are the group’s adherents subject to a formal legal code provided by institution(s) other than the religious group in question:,5213,,Nominal,
Does religious group in question possess an institutionalized military:,5214,,Nominal,
Does the religious group in question have the power to conscript:,5215,,Nominal,Does religious group in question possess an institutionalized military:
Does the religious group in question maintain a full-time military corps (e.g. Swiss Guard):,5216,,Nominal,Does religious group in question possess an institutionalized military:
Does the religious group in question maintain a standing army:,5217,,Nominal,Does religious group in question possess an institutionalized military:
Do the group’s adherents participate in an institutionalized military provided by institution(s) other than the religious group in question:,5218,,Nominal,
Are the group’s adherents protected by or subject to an institutionalized military provided by an institution(s) other than the religious group in question:,5219,,Nominal,
Does the religious group in question possess its own distinct written language:,5220,,Nominal,
Is use of this distinct written language confined to religious professionals:,5221,,Nominal,Does the religious group in question possess its own distinct written language:
Is a non-religion-specific written language available to the group’s adherents through an institution(s) other than the religious group in question:,5222,,Nominal,
Is a non-religion-specific written language used by the group’s adherents through an institution(s) other than the religious group in question:,5223,,Nominal,
Does the religious group in question possess a formal calendar:,5224,,Nominal,
Is a formal calendar provided for the group’s adherents by an institution(s) other than the religious group in question:,5225,,Nominal,
Does the religious group in question provide food for themselves:,5226,,Nominal,
Please characterize the forms/level of food production [choose all that apply]:,5227,,Nominal - Multiple,Does the religious group in question provide food for themselves:
Is food provided to the group’s adherents by an institution(s) other than the religious group in question:,5228,,Nominal,
Please characterize the forms/level of food production [choose all that apply]:,5229,,Nominal - Multiple,Is food provided to the group’s adherents by an institution(s) other than the religious group in question: